text,label
"Urgent! Hiring 20 general workers at ZCCM Mine. No experience needed. Send K150 registration fee via mobile money to secure your slot. Limited spots, apply today!",fake
"MTN Zambia is recruiting for the position of Customer Service Representative. Apply via our official careers page at mtn.co.zm/careers before the closing date of 30th September.",genuine
"Congratulations! You have been selected for a fully funded scholarship to study in Canada. Send your passport details and a processing fee of $50 to claim your spot now.",fake
"University of Zambia is inviting applications for the 2027 intake. Visit unza.zm/admissions for requirements and application guidelines. No application fee is charged.",genuine
"Zambia Revenue Authority is urgently recruiting Data Clerks. WhatsApp your CV and a K200 processing fee to 097xxxxxxx to be considered immediately.",fake
"Airtel Zambia announces graduate trainee positions for 2027. Interested candidates should apply through airtel.com/zm/careers by the stated deadline.",genuine
"Chinese company offering jobs in Lusaka, salary $800, no interview required. Just pay K300 for your work permit processing and start immediately.",fake
"The Ministry of Health is recruiting registered nurses for public hospitals. Applications must be submitted through the Public Service Microsystem (PSM) portal.",genuine
"DStv Zambia is giving out free scholarships to 50 lucky winners. Click the link and pay a small verification fee of K100 to claim yours today.",fake
"Cavendish University Zambia is offering merit-based scholarships for the 2027 academic year. Apply through the admissions office with your academic transcripts.",genuine
"URGENT VACANCY: Warehouse assistants needed in Kitwe. Send K250 uniform deposit via mobile money before Friday to reserve your position.",fake
"Indeni Petroleum Refinery has an opening for a Mechanical Technician. Full details and application instructions are available on their official website.",genuine
"Work from home and earn $500 weekly! No skills needed, just register with a one-time fee of K180 to get started today.",fake
"Zambia National Commercial Bank (ZANACO) is recruiting Bank Tellers nationwide. Apply online through the official ZANACO careers portal before the deadline.",genuine
"You have won a fully paid scholarship to the UK! Reply with your bank details and ID number within 24 hours to avoid losing this opportunity.",fake
"Copperbelt University is accepting applications for postgraduate programmes starting 2027. Application forms are available on the university's official website.",genuine
"Hiring drivers urgently for a logistics company. WhatsApp your license copy and pay K120 for background check processing to be shortlisted.",fake
"National Pension Scheme Authority (NAPSA) is recruiting for various administrative positions. See the official NAPSA website for full job descriptions.",genuine
"Get a government job guaranteed! Pay K400 registration to our agent and start work within a week, no CV needed.",fake
"Lusaka City Council is inviting applications for the position of Environmental Health Officer. Applications close on the date stated in the official notice.",genuine
"Scholarship alert! Fully funded MBA in South Africa, only 10 slots left. Send $30 application fee via WhatsApp to confirm your seat.",fake
"Stanbic Bank Zambia is recruiting graduate trainees for its 2027 programme. Applications are submitted exclusively through the Stanbic careers website.",genuine
"Housemaid and gardener jobs available in Lusaka, salary K3000. Pay K100 agent fee to get connected with employers immediately.",fake
"The Zambia Institute of Chartered Accountants (ZICA) is offering student sponsorships. Full criteria are listed on the official ZICA website.",genuine
"Congratulations, your number has been selected for a UN internship. Send your ID and K200 verification fee to proceed with onboarding.",fake
"First National Bank Zambia has open vacancies for Relationship Managers. Interested applicants should apply through the FNB Zambia careers page.",genuine
"Earn money daily doing simple online tasks. Registration fee of K80 required before you can start earning. Limited slots available.",fake
"Konkola Copper Mines is recruiting artisans and technicians. All applications must go through the official KCM recruitment portal, no fees are charged.",genuine
"You are eligible for a Chinese government scholarship. Send $40 processing fee and your passport scan within 48 hours to secure it.",fake
"The Bank of Zambia is recruiting Economists for its research department. Applications are submitted via the official Bank of Zambia website only.",genuine
"URGENT!! 50 drivers needed for a new logistics company in Lusaka. Pay K300 registration. Call 0966XXXXXX now",fake
"Zambia Postal Services Corporation is recruiting mail officers. Apply via www.zampost.co.zm. No application fee",genuine
"Congratulations! You have won a scholarship to study in Turkey. Send K1,500 for visa processing to claim",fake
"Mulungushi University is accepting applications for 2027 intake. Visit www.mu.ac.zm. Application fee is K150 payable at the bank",genuine
"Earn K10,000 per month working from home! No qualifications needed. Just pay K250 training fee via mobile money",fake
"Chilanga Cement is hiring Production Supervisors. Submit applications to hr@chilangacement.com. Deadline 15 December 2026",genuine
"URGENT: Teachers needed for international schools in Dubai. Salary K25,000 monthly. Pay K800 for interview slot",fake
"National Assembly of Zambia is recruiting Hansard Reporters. Apply through www.parliament.gov.zm. No fees required",genuine
"Your CV has been shortlisted for a UN job in Geneva! Send K500 processing fee and passport copy to confirm",fake
"Zambia Sugar Plc is looking for Electrical Engineers. Visit www.zambiasugar.com/careers to apply. Deadline 30 November 2026",genuine
"Fully funded scholarship to Australia! No IELTS. Send K900 application fee before slots close this week",fake
"Konkola Copper Mines is recruiting Mine Captains. Applications to recruitment@kcm.co.zm. No fee is charged",genuine
"Get a job at Shoprite today! Pay only K150 for uniform and start tomorrow. WhatsApp 0977XXXXXX",fake
"Zambia Revenue Authority is recruiting Tax Inspectors. Apply via www.zra.org.zm. Applications close 20 December 2026",genuine
"Government is giving free jobs to all youth! Pay K200 to register at our office and receive placement letter",fake
"Bank of Zambia is recruiting Economists. Visit www.boz.zm/careers for details. No application fee",genuine
"WIN a scholarship to study in China! Just pay K400 for document translation and secure your slot now",fake
"Copperbelt University is accepting postgraduate applications. Visit www.cbu.ac.zm. Application fee applies",genuine
"Immediate hiring! 100 house helpers needed in Lusaka. Salary K5,000. Pay K100 registration fee",fake
"Lusaka Water and Sewerage Company is recruiting Plumbers. Apply via www.lwsc.com.zm. Deadline 10 December 2026",genuine
"Scholarship alert! Full tuition to Canada. Only 5 slots. Pay K1,200 for processing via mobile money now",fake
"Zambia Electricity Supply Corporation (ZESCO) is recruiting Graduate Trainees. Apply at www.zesco.co.zm",genuine
"Nurse jobs in the UK! No experience needed. Pay K2,000 for visa processing. Call 0955XXXXXX",fake
"Ministry of Education is recruiting teachers for 2027. Apply via www.moe.gov.zm. No fees required",genuine
"Get rich quick! K50,000 monthly from online work. Pay K300 registration. WhatsApp us now!",fake
"Zambia Information and Communications Technology Authority (ZICTA) is recruiting ICT Officers. Visit www.zicta.zm",genuine
"You are the lucky winner of a K20,000 grant! Pay K500 to process your claim. Send your bank details",fake
"National Pension Scheme Authority (NAPSA) is recruiting Benefits Officers. Apply at www.napsa.co.zm",genuine
